observation,playerType,propReturnB,propSendA,age,defMax,volSav,dropG
287,B,0.5,,42,153.6699982,16,1
288,B,0.5,,48,60,53,0
289,B,0,,40,135.6100006,32,1
290,B,0,,37,0,5,0
291,B,0.333333343,,24,0,19,0
292,B,0.5,,45,0,15,0
293,B,0,,29,0,49,0
294,B,0,,0,43.43999863,5,1
295,B,0,,49,90.95999908,16,1
296,B,0.5,,52,0,200,0
297,B,0.5,,0,59.54000092,1,1
298,B,0.5,,28,0,140,1
299,B,0.5,,42,50,102,1
300,B,0,,30,103.9199982,70,1
301,B,0,,25,0,10,0
302,B,0,,48,82,0.140000001,1
303,B,0.5,,43,99.98999786,9,1
304,B,0,,28,14.47999954,1,0
305,B,0.5,,26,140.4799957,54,0
306,B,0.833333313,,35,0,14,0
307,B,1,,39,94.73999786,0,1
308,A,,0,33,0,48,0
309,A,,0,24,132.75,6,1
310,A,,0,32,0,362,0
311,A,,0,25,0,4,0
312,A,,0.333333343,51,0,167,0
313,A,,0.333333343,21,0,1,0
314,A,,0.333333343,31,0,68,0
315,A,,0,42,0,44,0
316,A,,0,25,110.25,10,1
317,A,,0,44,21,3,1
318,A,,0,30,0,215,0
319,A,,0.333333343,48,0,735,0
320,A,,0.333333343,59,0,72,0
321,A,,0.333333343,38,55.49000168,30,1
322,A,,1,27,0,0,0
323,A,,1,30,0,30,0
324,A,,0,23,1241.75,51,1
325,A,,0,28,0,33,0
326,A,,0,23,0,490,0
327,A,,0,43,0,12,0
328,A,,0.333333343,33,0,8,0
329,A,,0.333333343,35,100,87,0
330,A,,0.333333343,35,0,35,0
331,A,,0.333333343,23,0,185,0
332,A,,0.333333343,29,0,23,0
333,A,,0.333333343,66,258,72,0
334,A,,0.666666687,40,0,124,0
335,A,,1,48,261,14,0
336,A,,0.333333343,38,0,10,0
337,A,,0.333333343,54,0,86,0
338,A,,0.333333343,34,0,5,0
339,A,,0.333333343,33,0,122,0
340,A,,0.333333343,41,0,14,0
341,A,,0.333333343,45,143,63,0
342,A,,0.333333343,32,0,147,0
343,A,,0.333333343,36,0,77,0
344,A,,0.333333343,33,0,56,0
345,A,,1,49,0,26,0
346,A,,0,30,0,217,0
347,A,,0,39,0,136,0
348,A,,0,35,433,249,1
349,A,,0,18,0,1,0
350,A,,0.333333343,22,0,185,0
351,A,,0.333333343,38,0,0,0
352,A,,0.333333343,55,0,207,0
353,A,,0.333333343,38,148.4600067,17,1
354,A,,0.333333343,40,0,0,0
355,A,,0.333333343,55,215.2400055,65,1
356,A,,0.666666687,42,0,4,0
357,A,,1,48,0,0,0
358,A,,0,26,0,77,0
359,A,,0,64,0,94,0
360,A,,0.333333343,27,272.5,21,1
361,A,,0.333333343,49,0,47,0
362,A,,0.333333343,57,0,62,0
363,A,,0.333333343,42,0,2,0
364,A,,0.333333343,49,0,18,0
365,A,,0.333333343,23,0,72,0
366,A,,0.666666687,49,0,238,0
367,A,,0.666666687,33,54,8,0
368,A,,0.666666687,62,0,19,0
369,A,,0.333333343,23,0,3,0
370,A,,0.333333343,35,130.5200043,55,1
371,A,,0.333333343,40,0,137,0
372,A,,0.333333343,51,0,90,0
373,A,,0.333333343,37,217.4400024,22,1
374,A,,0.666666687,43,217.4400024,52,1
375,A,,0.666666687,61,108.75,9,1
376,A,,1,0,231,6,0
377,A,,1,40,0,77,0
378,A,,0.333333343,28,0,1655,0
379,A,,0.333333343,32,0,805,0
380,A,,0.333333343,20,0,96,0
381,A,,0.666666687,42,0,295,0
382,A,,0.666666687,20,0,1,0
383,A,,1,22,18.18000031,314,1
384,A,,1,35,0,38,0
385,A,,1,31,264.4100037,10,1
386,A,,1,27,409.1199951,51,0
387,A,,1,22,297,49,1
388,A,,1,29,0,270,0
389,A,,1,32,0,31,0
390,A,,1,31,0,67,0
391,A,,0,40,0,7,0
392,A,,0,21,0,3,0
393,A,,0,55,0,9,0
394,A,,0.333333343,30,0,1,0
395,A,,0.333333343,25,0,45,0
396,A,,1,26,0,25,0
397,A,,1,44,0,44,0
398,A,,0,54,0,41,0
399,A,,0,65,0,98,0
400,A,,0.333333343,27,0,16,0
401,A,,0.333333343,42,0,52,0
402,A,,0.333333343,52,0,6,0
403,A,,0.333333343,40,0,1,0
404,A,,0.333333343,71,0,125,0
405,A,,0.333333343,38,0,39,0
406,A,,1,49,0,108,0
407,A,,1,58,0,118,0
408,A,,1,59,0,108,0
409,A,,1,33,0,83,0
410,A,,1,28,261,120,1
411,A,,1,28,0,104,0
412,A,,1,42,0,7,0
413,A,,0,43,52,2,1
414,A,,0,26,0,0,0
415,A,,0,38,166.2900085,6,1
416,A,,0.333333343,25,0,6,0
417,A,,0.666666687,27,55.61999893,9,0
418,A,,0.666666687,45,0,9,0
419,A,,1,40,0,12,0
420,A,,0,58,0,115,0
421,A,,0,44,0,41,0
422,A,,0,27,232,50,1
423,A,,0,58,0,165,0
424,A,,0,17,0,30,0
425,A,,0,28,0,42,0
426,A,,0.333333343,38,0,2,1
427,A,,0.333333343,44,0,74,0
428,A,,0.333333343,30,0,45,0
429,A,,0.333333343,30,394.5,95,0
430,A,,0.333333343,53,0,28,0
